data, descricao, valor, categoria
2026-07-01, Supermercado Extra, 320.50, Alimentação
2026-07-02, Netflix, 45.90, Lazer
2026-07-03,Posto de gasolina, 180.00, Transporte
2026-07-05,iFood, 62.30, Alimentação
2026-07-07, Farmácia, 89.00, Saúde
2026-07-08, Shopee, 134.00, Compras
2026-07-10, Supermercado Extra, 210.80, Alimentação
2026-07-12, Uber, 38.50, Transporte
2026-07-14, Cinema, 60.00, Lazer
2026-07-15, Academia, 99.00, Saúde
2026-07-17, iFood,45.00, Alimentação
2026-07-19, Posto de gasolina, 150.00, Transporte
2026-07-20, Amazon, 279.90, Compras
2026-07-22, Farmácia, 56.00, Saúde
2026-07-23, Spotify, 21.90, Lazer